## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/BAM/Sample_03_sorted.bam] OUTPUT=results/BAM/Sample_03_markdup.bam METRICS_FILE=results/QC/Sample_03_markdup.metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 17 22:26:21 WEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	186	976459	764	0	56	10342	247	0.010619	46875115

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00025	955314	0	955558
2.0	1.97988	10124	247	9883
3.0	2.939314	106	0	103
4.0	3.878969	2	0	2
5.0	4.799252	0	0	0
6.0	5.700563	0	0	0
7.0	6.583292	0	0	0
8.0	7.447824	0	0	0
9.0	8.294533	0	0	0
10.0	9.123787	0	0	0
11.0	9.935945	0	0	0
12.0	10.73136	0	0	0
13.0	11.510377	0	0	0
14.0	12.273334	0	0	0
15.0	13.020562	0	0	0
16.0	13.752385	0	0	0
17.0	14.469122	0	0	0
18.0	15.171083	0	0	0
19.0	15.858572	0	0	0
20.0	16.531888	0	0	0
21.0	17.191324	0	0	0
22.0	17.837165	0	0	0
23.0	18.469691	0	0	0
24.0	19.089178	0	0	0
25.0	19.695893	0	0	0
26.0	20.290101	0	0	0
27.0	20.872058	0	0	0
28.0	21.442019	0	0	0
29.0	22.000229	0	0	0
30.0	22.546931	0	0	0
31.0	23.082363	0	0	0
32.0	23.606756	0	0	0
33.0	24.120339	0	0	0
34.0	24.623334	0	0	0
35.0	25.11596	0	0	0
36.0	25.598429	0	0	0
37.0	26.070953	0	0	0
38.0	26.533734	0	0	0
39.0	26.986976	0	0	0
40.0	27.430873	0	0	0
41.0	27.86562	0	0	0
42.0	28.291403	0	0	0
43.0	28.708409	0	0	0
44.0	29.116818	0	0	0
45.0	29.516808	0	0	0
46.0	29.908552	0	0	0
47.0	30.292219	0	0	0
48.0	30.667977	0	0	0
49.0	31.035988	0	0	0
50.0	31.396413	0	0	0
51.0	31.749407	0	0	0
52.0	32.095124	0	0	0
53.0	32.433714	0	0	0
54.0	32.765324	0	0	0
55.0	33.090098	0	0	0
56.0	33.408175	0	0	0
57.0	33.719696	0	0	0
58.0	34.024795	0	0	0
59.0	34.323603	0	0	0
60.0	34.616252	0	0	0
61.0	34.902867	0	0	0
62.0	35.183574	0	0	0
63.0	35.458493	0	0	0
64.0	35.727745	0	0	0
65.0	35.991447	0	0	0
66.0	36.249712	0	0	0
67.0	36.502652	0	0	0
68.0	36.750378	0	0	0
69.0	36.992997	0	0	0
70.0	37.230615	0	0	0
71.0	37.463333	0	0	0
72.0	37.691254	0	0	0
73.0	37.914477	0	0	0
74.0	38.133097	0	0	0
75.0	38.347211	0	0	0
76.0	38.55691	0	0	0
77.0	38.762286	0	0	0
78.0	38.963429	0	0	0
79.0	39.160425	0	0	0
80.0	39.353359	0	0	0
81.0	39.542316	0	0	0
82.0	39.727378	0	0	0
83.0	39.908624	0	0	0
84.0	40.086134	0	0	0
85.0	40.259984	0	0	0
86.0	40.430251	0	0	0
87.0	40.597007	0	0	0
88.0	40.760326	0	0	0
89.0	40.920277	0	0	0
90.0	41.076931	0	0	0
91.0	41.230356	0	0	0
92.0	41.380617	0	0	0
93.0	41.527781	0	0	0
94.0	41.671911	0	0	0
95.0	41.81307	0	0	0
96.0	41.951319	0	0	0
97.0	42.086717	0	0	0
98.0	42.219324	0	0	0
99.0	42.349198	0	0	0
100.0	42.476394	0	0	0

