## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/BAM/Sample_01_sorted.bam] OUTPUT=results/BAM/Sample_01_markdup.bam METRICS_FILE=results/QC/Sample_01_markdup.metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 17 22:27:03 WEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	218	976814	872	0	62	10451	291	0.01073	46602919

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000295	955493	0	955779
2.0	1.979841	10158	291	9877
3.0	2.93907	142	0	137
4.0	3.878402	3	0	3
5.0	4.79825	0	0	0
6.0	5.699019	0	0	0
7.0	6.581103	0	0	0
8.0	7.444892	0	0	0
9.0	8.290763	0	0	0
10.0	9.119089	0	0	0
11.0	9.930234	0	0	0
12.0	10.724553	0	0	0
13.0	11.502397	0	0	0
14.0	12.264107	0	0	0
15.0	13.010017	0	0	0
16.0	13.740455	0	0	0
17.0	14.455743	0	0	0
18.0	15.156193	0	0	0
19.0	15.842115	0	0	0
20.0	16.513809	0	0	0
21.0	17.171571	0	0	0
22.0	17.81569	0	0	0
23.0	18.446448	0	0	0
24.0	19.064122	0	0	0
25.0	19.668985	0	0	0
26.0	20.261301	0	0	0
27.0	20.841332	0	0	0
28.0	21.409331	0	0	0
29.0	21.965549	0	0	0
30.0	22.51023	0	0	0
31.0	23.043613	0	0	0
32.0	23.565932	0	0	0
33.0	24.077417	0	0	0
34.0	24.578293	0	0	0
35.0	25.068779	0	0	0
36.0	25.549092	0	0	0
37.0	26.019442	0	0	0
38.0	26.480036	0	0	0
39.0	26.931076	0	0	0
40.0	27.372761	0	0	0
41.0	27.805284	0	0	0
42.0	28.228835	0	0	0
43.0	28.643602	0	0	0
44.0	29.049765	0	0	0
45.0	29.447503	0	0	0
46.0	29.836991	0	0	0
47.0	30.218401	0	0	0
48.0	30.591899	0	0	0
49.0	30.95765	0	0	0
50.0	31.315814	0	0	0
51.0	31.66655	0	0	0
52.0	32.01001	0	0	0
53.0	32.346346	0	0	0
54.0	32.675706	0	0	0
55.0	32.998235	0	0	0
56.0	33.314073	0	0	0
57.0	33.62336	0	0	0
58.0	33.926232	0	0	0
59.0	34.222821	0	0	0
60.0	34.513259	0	0	0
61.0	34.797672	0	0	0
62.0	35.076186	0	0	0
63.0	35.348923	0	0	0
64.0	35.616003	0	0	0
65.0	35.877543	0	0	0
66.0	36.133658	0	0	0
67.0	36.38446	0	0	0
68.0	36.630061	0	0	0
69.0	36.870567	0	0	0
70.0	37.106084	0	0	0
71.0	37.336717	0	0	0
72.0	37.562565	0	0	0
73.0	37.783729	0	0	0
74.0	38.000306	0	0	0
75.0	38.21239	0	0	0
76.0	38.420075	0	0	0
77.0	38.623452	0	0	0
78.0	38.822611	0	0	0
79.0	39.017639	0	0	0
80.0	39.208621	0	0	0
81.0	39.395642	0	0	0
82.0	39.578784	0	0	0
83.0	39.758127	0	0	0
84.0	39.93375	0	0	0
85.0	40.105731	0	0	0
86.0	40.274144	0	0	0
87.0	40.439063	0	0	0
88.0	40.600562	0	0	0
89.0	40.758711	0	0	0
90.0	40.91358	0	0	0
91.0	41.065237	0	0	0
92.0	41.213747	0	0	0
93.0	41.359178	0	0	0
94.0	41.501591	0	0	0
95.0	41.641051	0	0	0
96.0	41.777618	0	0	0
97.0	41.911353	0	0	0
98.0	42.042313	0	0	0
99.0	42.170557	0	0	0
100.0	42.296141	0	0	0

